declaration;AOC;AOC_ALSACE;;TRANQ;Alsace blanc;ALSACEBLANC;;DEFAUT;;;;;Gewurztraminer;GW;;L387;Vins Tranquilles;3,77;2015-08-01;G;7,38;2015-08-01;C;;;;;;;;;;;1B001S 1;cepage;;%a% %l% %ce% %m%;certification
declaration;AOC;AOC_ALSACE;;TRANQ;Alsace blanc;ALSACEBLANC;VT;VT;;;;;Gewurztraminer;GW;;L387;Vins Tranquilles;3,77;2015-08-01;G;7,38;2015-08-01;C;;;;;;;;;;;1B001D71;cepage;;%a% %l% %ce% %m%;certification
declaration;AOC;AOC_ALSACE;;TRANQ;Alsace blanc;ALSACEBLANC;SGN;SGN;;;;;Gewurztraminer;GW;;L387;Vins Tranquilles;3,77;2015-08-01;G;7,38;2015-08-01;C;;;;;;;;;;;1B001D61;cepage;;%a% %l% %ce% %m%;certification
declaration;AOC;AOC_ALSACE;;TRANQ;Alsace Lieu-dit;LIEUDIT;;DEFAUT;;;Blanc;blanc;Total Lieu dit Blanc hors mention ;DEFAUT;;L387;Vins Tranquilles;3,77;2015-08-01;G;7,38;2015-08-01;C;;;;;;;;;;;1B070S;cepage;;%ce%;cepage
declaration;AOC;AOC_ALSACE;;TRANQ;Alsace Lieu-dit;LIEUDIT;;DEFAUT;;;Rouge;rouge;Total Lieu dit Rouge ;DEFAUT;;L387;Vins Tranquilles;3,77;2015-08-01;G;7,38;2015-08-01;C;;;;;;;;;;;1R070S;cepage;;%ce%;cepage
declaration;AOC;AOC_ALSACE;;TRANQ;Alsace Lieu-dit;LIEUDIT;;DEFAUT;;;Blanc;blanc;Chasselas;CH;;L387;Vins Tranquilles;3,77;2015-08-01;G;7,38;2015-08-01;C;;;;;;;;;;;1B070S05;cepage;;%a% %l% %ce% %m%;certification
declaration;AOC;AOC_ALSACE;;TRANQ;Alsace Lieu-dit;LIEUDIT;;DEFAUT;;;Blanc;blanc;Sylvaner;SY;;L387;Vins Tranquilles;3,77;2015-08-01;G;7,38;2015-08-01;C;;;;;;;;;;;1B070S08;cepage;;%a% %l% %ce% %m%;certification
declaration;AOC;AOC_ALSACE;;TRANQ;Alsace Lieu-dit;LIEUDIT;;DEFAUT;;;Blanc;blanc;Auxerrois;AU;;L387;Vins Tranquilles;3,77;2015-08-01;G;7,38;2015-08-01;C;;;;;;;;;;;1B070S0A;cepage;;%a% %l% %ce% %m%;certification
declaration;AOC;AOC_ALSACE;;TRANQ;Alsace Lieu-dit;LIEUDIT;;DEFAUT;;;Blanc;blanc;Pinot Blanc;PB;;L387;Vins Tranquilles;3,77;2015-08-01;G;7,38;2015-08-01;C;;;;;;;;;;;1B070S06;cepage;;%a% %l% %ce% %m%;certification
declaration;AOC;AOC_ALSACE;;TRANQ;Alsace Lieu-dit;LIEUDIT;;DEFAUT;;;Blanc;blanc;Pinot;PI;;L387;Vins Tranquilles;3,77;2015-08-01;G;7,38;2015-08-01;C;;;;;;;;;;;1B070S07;cepage;;%a% %l% %ce% %m%;certification
declaration;AOC;AOC_ALSACE;;TRANQ;Alsace Lieu-dit;LIEUDIT;;DEFAUT;;;Blanc;blanc;Assemblage;ED;;L387;Vins Tranquilles;3,77;2015-08-01;G;7,38;2015-08-01;C;;;;;;;;;;;1B070S09;cepage;;%a% %l% %ce% %m%;certification
declaration;AOC;AOC_ALSACE;;TRANQ;Alsace Lieu-dit;LIEUDIT;;DEFAUT;;;Blanc;blanc;Riesling;RI;;L387;Vins Tranquilles;3,77;2015-08-01;G;7,38;2015-08-01;C;;;;;;;;;;;1B070S04;cepage;;%a% %l% %ce% %m%;certification
declaration;AOC;AOC_ALSACE;;TRANQ;Alsace Lieu-dit;LIEUDIT;VT;VT;;;Blanc;blanc;Riesling;RI;;L387;Vins Tranquilles;3,77;2015-08-01;G;7,38;2015-08-01;C;;;;;;;;;;;1B070D74;cepage;;%a% %l% %ce% %m%;certification
declaration;AOC;AOC_ALSACE;;TRANQ;Alsace Lieu-dit;LIEUDIT;SGN;SGN;;;Blanc;blanc;Riesling;RI;;L387;Vins Tranquilles;3,77;2015-08-01;G;7,38;2015-08-01;C;;;;;;;;;;;1B070D64;cepage;;%a% %l% %ce% %m%;certification
