certification ,genre ,appellation ,mention ,lieu,couleur,cepage,libelle complet
AOC,Tranquille,AOC Alsace Grands Crus,,Altenberg de Bergbieten,Blanc,Muscat,AOC Alsace Grands Crus Altenberg de Bergbieten Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Altenberg de Bergbieten,Blanc,Gewurztraminer,AOC Alsace Grands Crus Altenberg de Bergbieten Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Altenberg de Bergheim,Blanc,Assemblage,AOC Alsace Grands Crus Altenberg de Bergheim Assemblage
AOC,Tranquille,AOC Alsace Grands Crus,,Altenberg de Bergheim,Blanc,Riesling,AOC Alsace Grands Crus Altenberg de Bergheim Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Altenberg de Bergheim,Blanc,Pinot Gris,AOC Alsace Grands Crus Altenberg de Bergheim Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Altenberg de Bergheim,Blanc,Gewurztraminer,AOC Alsace Grands Crus Altenberg de Bergheim Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Altenberg de Wolxheim,Blanc,Riesling,AOC Alsace Grands Crus Altenberg de Wolxheim Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Altenberg de Wolxheim,Blanc,Pinot Gris,AOC Alsace Grands Crus Altenberg de Wolxheim Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Altenberg de Wolxheim,Blanc,Muscat,AOC Alsace Grands Crus Altenberg de Wolxheim Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Altenberg de Wolxheim,Blanc,Gewurztraminer,AOC Alsace Grands Crus Altenberg de Wolxheim Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Brand,Blanc,Riesling,AOC Alsace Grands Crus Brand Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Brand,Blanc,Pinot Gris,AOC Alsace Grands Crus Brand Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Brand,Blanc,Muscat,AOC Alsace Grands Crus Brand Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Brand,Blanc,Gewurztraminer,AOC Alsace Grands Crus Brand Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Bruderthal,Blanc,Riesling,AOC Alsace Grands Crus Bruderthal Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Bruderthal,Blanc,Pinot Gris,AOC Alsace Grands Crus Bruderthal Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Bruderthal,Blanc,Muscat,AOC Alsace Grands Crus Bruderthal Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Bruderthal,Blanc,Gewurztraminer,AOC Alsace Grands Crus Bruderthal Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Eichberg,Blanc,Riesling,AOC Alsace Grands Crus Eichberg Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Eichberg,Blanc,Pinot Gris,AOC Alsace Grands Crus Eichberg Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Eichberg,Blanc,Muscat,AOC Alsace Grands Crus Eichberg Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Eichberg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Eichberg Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Engelberg,Blanc,Riesling,AOC Alsace Grands Crus Engelberg Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Engelberg,Blanc,Pinot Gris,AOC Alsace Grands Crus Engelberg Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Engelberg,Blanc,Muscat,AOC Alsace Grands Crus Engelberg Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Engelberg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Engelberg Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Florimont,Blanc,Riesling,AOC Alsace Grands Crus Florimont Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Florimont,Blanc,Pinot Gris,AOC Alsace Grands Crus Florimont Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Florimont,Blanc,Muscat,AOC Alsace Grands Crus Florimont Muscat
