certification ,genre ,appellation ,mention ,lieu,couleur,cepage,libelle complet
AOC,Tranquille,AOC Alsace Grands Crus,,Sommerberg,Blanc,Muscat,AOC Alsace Grands Crus Sommerberg Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Sommerberg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Sommerberg Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Sonnenglanz,Blanc,Riesling,AOC Alsace Grands Crus Sonnenglanz Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Sonnenglanz,Blanc,Pinot Gris,AOC Alsace Grands Crus Sonnenglanz Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Sonnenglanz,Blanc,Muscat,AOC Alsace Grands Crus Sonnenglanz Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Sonnenglanz,Blanc,Gewurztraminer,AOC Alsace Grands Crus Sonnenglanz Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Spiegel,Blanc,Riesling,AOC Alsace Grands Crus Spiegel Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Spiegel,Blanc,Pinot Gris,AOC Alsace Grands Crus Spiegel Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Spiegel,Blanc,Muscat,AOC Alsace Grands Crus Spiegel Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Spiegel,Blanc,Gewurztraminer,AOC Alsace Grands Crus Spiegel Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Sporen,Blanc,Riesling,AOC Alsace Grands Crus Sporen Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Sporen,Blanc,Pinot Gris,AOC Alsace Grands Crus Sporen Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Sporen,Blanc,Muscat,AOC Alsace Grands Crus Sporen Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Sporen,Blanc,Gewurztraminer,AOC Alsace Grands Crus Sporen Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Steinert,Blanc,Riesling,AOC Alsace Grands Crus Steinert Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Steinert,Blanc,Pinot Gris,AOC Alsace Grands Crus Steinert Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Steinert,Blanc,Muscat,AOC Alsace Grands Crus Steinert Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Steinert,Blanc,Gewurztraminer,AOC Alsace Grands Crus Steinert Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Steingrubler,Blanc,Riesling,AOC Alsace Grands Crus Steingrubler Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Steingrubler,Blanc,Pinot Gris,AOC Alsace Grands Crus Steingrubler Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Steingrubler,Blanc,Muscat,AOC Alsace Grands Crus Steingrubler Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Steingrubler,Blanc,Gewurztraminer,AOC Alsace Grands Crus Steingrubler Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Steinklotz,Blanc,Riesling,AOC Alsace Grands Crus Steinklotz Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Steinklotz,Blanc,Pinot Gris,AOC Alsace Grands Crus Steinklotz Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Steinklotz,Blanc,Muscat,AOC Alsace Grands Crus Steinklotz Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Steinklotz,Blanc,Gewurztraminer,AOC Alsace Grands Crus Steinklotz Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Vorbourg,Blanc,Riesling,AOC Alsace Grands Crus Vorbourg Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Vorbourg,Blanc,Pinot Gris,AOC Alsace Grands Crus Vorbourg Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Vorbourg,Blanc,Muscat,AOC Alsace Grands Crus Vorbourg Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Vorbourg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Vorbourg Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Wiebelsberg,Blanc,Riesling,AOC Alsace Grands Crus Wiebelsberg Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Wiebelsberg,Blanc,Pinot Gris,AOC Alsace Grands Crus Wiebelsberg Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Wiebelsberg,Blanc,Muscat,AOC Alsace Grands Crus Wiebelsberg Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Wiebelsberg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Wiebelsberg Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Wineck-Schlossberg,Blanc,Riesling,AOC Alsace Grands Crus Wineck-Schlossberg Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Wineck-Schlossberg,Blanc,Pinot Gris,AOC Alsace Grands Crus Wineck-Schlossberg Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Wineck-Schlossberg,Blanc,Muscat,AOC Alsace Grands Crus Wineck-Schlossberg Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Wineck-Schlossberg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Wineck-Schlossberg Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Winzenberg,Blanc,Riesling,AOC Alsace Grands Crus Winzenberg Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Winzenberg,Blanc,Pinot Gris,AOC Alsace Grands Crus Winzenberg Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Winzenberg,Blanc,Muscat,AOC Alsace Grands Crus Winzenberg Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Winzenberg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Winzenberg Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Zinnkoepflé,Blanc,Riesling,AOC Alsace Grands Crus Zinnkoepflé Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Zinnkoepflé,Blanc,Pinot Gris,AOC Alsace Grands Crus Zinnkoepflé Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Zinnkoepflé,Blanc,Muscat,AOC Alsace Grands Crus Zinnkoepflé Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Zinnkoepflé,Blanc,Gewurztraminer,AOC Alsace Grands Crus Zinnkoepflé Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Zotzenberg,Blanc,Sylvaner,AOC Alsace Grands Crus Zotzenberg Sylvaner
AOC,Tranquille,AOC Alsace Grands Crus,,Zotzenberg,Blanc,Riesling,AOC Alsace Grands Crus Zotzenberg Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Zotzenberg,Blanc,Pinot Gris,AOC Alsace Grands Crus Zotzenberg Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Zotzenberg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Zotzenberg Gewurztraminer
AOC,Tranquille,AOC Alsace Pinot noir,,,Rosé,Pinot Noir Rosé,AOC Alsace Pinot noir Pinot Noir Rosé
AOC,Tranquille,AOC Alsace PN rouge,,,Rouge,Pinot Noir Rouge,AOC Alsace PN rouge Pinot Noir Rouge
AOC,Mousseux,AOC Crémant d'Alsace,,,Blanc,Pinot Blanc,AOC Crémant d'Alsace Pinot Blanc
AOC,Mousseux,AOC Crémant d'Alsace,,,Blanc,Chardonnay,AOC Crémant d'Alsace Chardonnay
AOC,Mousseux,AOC Crémant d'Alsace,,,Blanc,Pinot Noir Blanc,AOC Crémant d'Alsace Pinot Noir Blanc
AOC,Mousseux,AOC Crémant d'Alsace,,,Blanc,Riesling,AOC Crémant d'Alsace Riesling
AOC,Mousseux,AOC Crémant d'Alsace,,,Blanc,Pinot Gris,AOC Crémant d'Alsace Pinot Gris
AOC,Mousseux,AOC Crémant d'Alsace,,,Rosé,Pinot Noir Rosé,AOC Crémant d'Alsace Pinot Noir Rosé
AOC,Mousseux,AOC Crémant d'Alsace,,,,Rebêches,AOC Crémant d'Alsace Rebêches
AOC,Mousseux,AOC Crémant d'Alsace,,,Blanc,Blanc,AOC Crémant d'Alsace Blanc
AOC,Mousseux,AOC Crémant d'Alsace,,,Rosé,Rosé,AOC Crémant d'Alsace Rosé
AOC,Mousseux,Champagne,,,Blanc,,AOC Champagne Blanc
AOP,Tranquille,France,,,Blanc,,AOP France Blanc
AOP,Tranquille,France,,,Rouge,,AOP France Rouge
AOP,Tranquille,France,,,Rosé,,AOP France Rosé
AOP,Tranquille,CEE,,,Blanc,,AOP CEE Blanc
AOP,Tranquille,CEE,,,Rouge,,AOP CEE Rouge
AOP,Tranquille,CEE,,,Rosé,,AOP CEE Rosé
IGP,Tranquille,France,,,Blanc,,IGP France Blanc
IGP,Tranquille,France,,,Rouge,,IGP France Rouge
IGP,Tranquille,France,,,Rosé,,IGP France Rosé
IGP,Tranquille,CEE,,,Blanc,,IGP CEE Blanc
IGP,Tranquille,CEE,,,Rouge,,IGP CEE Rouge
IGP,Tranquille,CEE,,,Rosé,,IGP CEE Rosé
Vins sans IG,Tranquille,,,,Blanc,,Vins sans IG Blanc
Vins sans IG,Tranquille,,,,Rosé,,Vins sans IG Rosé
Vins sans IG,Tranquille,,,,Rouge,,Vins sans IG Rouge
Vins sans IG,Mousseux,,,,,,Vins sans IG Mousseux
Autre,,BFAV,,,,,BFAV
Autre,,Rebêches,,,,,Rebêches
Autre,,Usages Industriels,,,,,Usages Industriels
